date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:02:00	13594/13594	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202024%2017:31:57%20GMT	https://preview.keenthemes.com/keen/demo1/authentication/layouts/corporate/sign-up.html	C:/My%20Web%20Sites/Login%20page/preview.keenthemes.com/keen/demo1/authentication/layouts/corporate/sign-up.html	(from )
23:02:01	36/36	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jul%202024%2017:31:58%20GMT	https://preview.keenthemes.com/robots.txt		(from )
23:02:02	743889/743889	---MCZ	200	added ('OK')	text/css	etag:W/%2266289c9e-b59d1%22	https://preview.keenthemes.com/keen/demo1/assets/plugins/global/plugins.bundle.css	C:/My%20Web%20Sites/Login%20page/preview.keenthemes.com/keen/demo1/assets/plugins/global/plugins.bundle.css	(from https://preview.keenthemes.com/keen/demo1/authentication/layouts/corporate/sign-up.html)
23:02:02	1378165/1378165	---MCZ	200	added ('OK')	text/css	etag:W/%2266289c5c-150775%22	https://preview.keenthemes.com/keen/demo1/assets/css/style.bundle.css	C:/My%20Web%20Sites/Login%20page/preview.keenthemes.com/keen/demo1/assets/css/style.bundle.css	(from https://preview.keenthemes.com/keen/demo1/authentication/layouts/corporate/sign-up.html)
23:02:02	5868/5868	---M--	200	added ('OK')	image/png	etag:%226552540f-16ec%22	https://preview.keenthemes.com/keen/demo1/assets/media/misc/auth-bg.png	C:/My%20Web%20Sites/Login%20page/preview.keenthemes.com/keen/demo1/assets/media/misc/auth-bg.png	(from https://preview.keenthemes.com/keen/demo1/authentication/layouts/corporate/sign-up.html)
23:02:03	74345/74345	---M--	200	added ('OK')	image/png	etag:%226552540f-12269%22	https://preview.keenthemes.com/keen/demo1/assets/media/misc/auth-screens.png	C:/My%20Web%20Sites/Login%20page/preview.keenthemes.com/keen/demo1/assets/media/misc/auth-screens.png	(from https://preview.keenthemes.com/keen/demo1/authentication/layouts/corporate/sign-up.html)
23:02:03	11880/11880	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202024%2017:32:00%20GMT	https://preview.keenthemes.com/keen/demo1/authentication/layouts/corporate/sign-in.html	C:/My%20Web%20Sites/Login%20page/preview.keenthemes.com/keen/demo1/authentication/layouts/corporate/sign-in.html	(from https://preview.keenthemes.com/keen/demo1/authentication/layouts/corporate/sign-up.html)
23:02:03	99212/99212	---MCZ	200	added ('OK')	application/javascript	etag:W/%226552540f-1838c%22	https://preview.keenthemes.com/keen/demo1/assets/js/scripts.bundle.js	C:/My%20Web%20Sites/Login%20page/preview.keenthemes.com/keen/demo1/assets/js/scripts.bundle.js	(from https://preview.keenthemes.com/keen/demo1/authentication/layouts/corporate/sign-up.html)
23:02:03	2440112/2440112	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266289616-253bb0%22	https://preview.keenthemes.com/keen/demo1/assets/plugins/global/plugins.bundle.js	C:/My%20Web%20Sites/Login%20page/preview.keenthemes.com/keen/demo1/assets/plugins/global/plugins.bundle.js	(from https://preview.keenthemes.com/keen/demo1/authentication/layouts/corporate/sign-up.html)
23:02:04	4548/4548	---MCZ	200	added ('OK')	application/javascript	etag:W/%226552540a-11c4%22	https://preview.keenthemes.com/keen/demo1/assets/js/custom/authentication/sign-up/general.js	C:/My%20Web%20Sites/Login%20page/preview.keenthemes.com/keen/demo1/assets/js/custom/authentication/sign-up/general.js	(from https://preview.keenthemes.com/keen/demo1/authentication/layouts/corporate/sign-up.html)
